Category_1,Category_2,Percentage
0-4,Female,2.4
0-4,Male,2.5
10-14,Female,3.0
10-14,Male,3.2
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.6
15-19,Male,2.7
20-24,Female,2.4
20-24,Male,2.5
25-29,Female,2.6
25-29,Male,2.6
30-34,Female,3.7
30-34,Male,3.8
35-39,Female,4.4
35-39,Male,4.4
40-44,Female,4.0
40-44,Male,3.8
45-49,Female,3.7
45-49,Male,3.4
5-9,Female,3.1
5-9,Male,3.3
50-54,Female,3.4
50-54,Male,3.0
55-59,Female,3.3
55-59,Male,2.7
60-64,Female,4.0
60-64,Male,2.9
65-69,Female,3.7
65-69,Male,2.3
70-74,Female,3.0
70-74,Male,1.6
75-79,Female,1.6
75-79,Male,0.7
80-84,Female,1.4
80-84,Male,0.5
85-89,Female,0.9
85-89,Male,0.3
90-94,Female,0.3
90-94,Male,0.1
95-99,Female,0.1
95-99,Male,0.0
